664002	SISTEMAS OPERACIONAIS II N	SISOP II	INF01151	\N	A
692001	SEGURANÇA EM SISTEMAS DE COMPUTAÇÃO	SEGURANÇA	INF01045	\N	A
686001	FUNDAMENTOS DE BANCO DE DADOS	FBD	INF01145	\N	B
693001	SISTEMAS DIGITAIS PARA COMPUTADORES A	SISTEMAS DIGITAIS	INF01175	\N	B
725009	COMPUTAÇÃO E MÚSICA	CompMus	INF01062	\N	A
622003	COMPUTADOR E SOCIEDADE	COMPUTADOR E SOCIEDADE	INF01140	\N	B
77	PROJETO EM COMPUTAÇÃO E MÚSICA	PCM	INF01066		\N
76	FOTOGRAFIA COMPUTACIONAL	FOTOGRAFIA	INF01065		A
75	ALGORITMOS AVANÇADOS	ALGORITMOS AVANÇADOS	INF01064		A
691001	PROJETO EM COMPUTAÇÃO GRÁFICA	PCG	INF01019	\N	B
689001	LÓGICA PARA COMPUTAÇÃO	LÓGICA	INF05508	\N	A
644003	PROJETO DE HIPERDOCUMENTOS	HIPERDOCUMENTOS	INF01021	\N	D
687001	INTERAÇÃO HOMEM-COMPUTADOR	IHC	INF01043	\N	C
685002	DESAFIOS DE PROGRAMAÇÃO	DESAFIOS	INF01056	\N	A
610003	ORGANIZAÇÃO DE COMPUTADORES B	ORGB	INF01113	\N	B
688001	LINGUAGENS FORMAIS E AUTÔMATOS N	FORMAIS	INF05005	\N	B
623004	COMPUTAÇÃO EVOLUTIVA	COMP. EVOL.	INF01037	\N	FF
619002	TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA	GRAFOS	INF05512	\N	B
655004	TÉCNICAS DIGITAIS PARA COMPUTAÇÃO	TD	INF01118	\N	D
592004	MATEMÁTICA DISCRETA B	DISCRETA	MAT01375	\N	A
656003	CATEGORIAS COMPUTACIONAIS N	CATEGORIAS	INF05006	\N	B
649003	FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS	FPI	INF01046	\N	D
640002	LABORATÓRIO DE SISTEMA DE SOFTWARE	LABORATÓRIO DE SOFTWARE	INF01022	\N	A
614003	SEMÂNTICA FORMAL N	SEMÂNTICA	INF05516	\N	B
603003	REDES DE COMPUTADORES N	REDES	INF01154	\N	B
654002	SISTEMAS OPERACIONAIS I N	SISOP I	INF01142	\N	B
667004	FUNDAMENTOS DE ALGORITMOS	FUNDAMENTOS	INF05008	\N	B
577003	TEORIA DA COMPUTAÇÃO N	TEORIA	INF05501	\N	B
684001	EMPREENDIMENTO EM INFORMÁTICA	EMPREENDIMENTOS	INF01032	\N	B
690001	MODELOS DE LINGUAGEM DE PROGRAMAÇÃO	MLP	INF01121	\N	B
589005	TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS	TCP	INF01120	\N	B
680002	ALGORÍTMOS E PROGRAMAÇÃO - CIC	ALGORÍTMOS	INF01202	\N	A
627004	FUNDAMENTOS DE TOLERÂNCIA A FALHAS	TF	INF01209	\N	A
733001	CIRCUITOS DIGITAIS	CIRCUITOS	INF01058	\N	B
647003	CLASSIFICAÇÃO E PESQUISA DE DADOS	CPD	INF01124	\N	A
686015	HISTÓRIA DA COMPUTAÇÃO	HISTÓRIA	INF01061	\N	A
672003	ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II	ARQ2	INF01112	\N	A
600005	INTRODUÇÃO À ARQUITETURA DE COMPUTADORES	ARQ0	INF01107	\N	C
594003	ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I	ARQ1	INF01108	\N	A
669002	INTELIGÊNCIA ARTIFICIAL	IA	INF01048	\N	C
668003	FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA	FCG	INF01047	\N	B
578004	OTIMIZAÇÃO COMBINATÓRIA	OTIMIZAÇÃO	INF05010	\N	A
685001	ENGENHARIA DE SOFTWARE N	ENG SOFT	INF01127	\N	B
\.


